שם רחוב,שכונה עירונית,שכונה סטטיסטית,מזרח/מערב,קו רוחב,קו אורך
1,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.789675,35.259398
א שייח' סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.778554,35.245463
אבו צוואנה,א-טור,"הר הזיתים, א טור",מזרח,31.781618,35.249011
אל אוסתאד תמאם,א-טור,"הר הזיתים, א טור",מזרח,31.782813,35.25533
אל אוסתאד תמאם סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.782964,35.254695
אל אוסתאד תמאם סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.781764,35.253387
אל אוסתאד תמאם סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.782734,35.252599
אל אוסתאד תמאם סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.78155,35.252629
אל אוסתאד תמאם סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.781802,35.25186
אל אוסתאד תמאם סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.78143,35.251373
אל אוסתאד' תמאם סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.782701,35.251476
אל אזאעה,א-טור,"הר הזיתים, א טור",מזרח,31.782967,35.246527
אל ח'לה,א-טור,"הר הזיתים, א טור",מזרח,31.784045,35.248283
אל ח'לה סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.784064,35.2498
אל ח'לה סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.783104,35.247198
אל ח'לה סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.783259,35.249696
אל ח'לה סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.781848,35.247793
אל ח'לה סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.783344,35.248946
אל ח'לה סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.783138,35.248083
אל ח'לה סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.780752,35.249208
אל חרדוב,א-טור,"הר הזיתים, א טור",מזרח,31.780206,35.252058
אל חרדוב סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.780374,35.250348
אל חרדוב סמטה 10,א-טור,"הר הזיתים, א טור",מזרח,31.779518,35.252864
אל חרדוב סמטה 12,א-טור,"הר הזיתים, א טור",מזרח,31.779235,35.254595
אל חרדוב סמטה 13,א-טור,"הר הזיתים, א טור",מזרח,31.781018,35.25702
אל חרדוב סמטה 16,א-טור,"הר הזיתים, א טור",מזרח,31.780174,35.257052
אל חרדוב סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.779723,35.250811
אל חרדוב סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.780426,35.252005
אל חרדוב סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.779749,35.25153
אל חרדוב סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.780402,35.252479
אל חרדוב סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.779847,35.251884
אל חרדוב סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.780748,35.252861
אל חרדוב סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.779803,35.25264
אל חרדוב סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.780718,35.254136
אל מנסוריה,א-טור,,מזרח,31.780315,35.243707
אל סהל אל ג'דיד,א-טור,"הר הזיתים, א טור",מזרח,31.783184,35.250158
אל סהל אל ג'דיד סמטה 10,א-טור,"הר הזיתים, א טור",מזרח,31.78069,35.250585
אל סהל אל ג'דיד סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.784038,35.251861
אל סהל אל ג'דיד סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.782985,35.250449
אל סהל אל ג'דיד סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.781896,35.249314
אל סהל אל ג'דיד סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.781661,35.250449
אל סהל אל ג'דיד סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.781519,35.24962
אל צוואנה,א-טור,,מזרח,31.782101,35.242813
אל קמה,א-טור,"הר הזיתים, א טור",מזרח,31.785607,35.25346
בית פאגי,א-טור,"הר הזיתים, א טור",מזרח,31.779008,35.25006
דבה,א-טור,"הר הזיתים, א טור",מזרח,31.779252,35.25314
דבה סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.778824,35.251426
דבה סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.77886,35.252918
דרך א טור שמואל בן עדיה,א-טור,"הר הזיתים, א טור",מזרח,31.784841,35.247218
דרך מנהרת הר הצופים,א-טור,"הר הזיתים, א טור",מזרח,31.785786,35.259089
הדרה,א-טור,"הר הזיתים, א טור",מזרח,31.787667,35.252974
הדרה סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.785564,35.25209
ח'לת אל עין,א-טור,"הר הזיתים, א טור",מזרח,31.785654,35.254288
ח'לת אל עין סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.787398,35.254368
ח'לת אל עין סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.786013,35.255463
ח'לת אל עין סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.786577,35.255528
ח'לת אל עין סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.786639,35.256974
ח'לת אל עין סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.787518,35.255938
ח'לת אל עין סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.789948,35.255798
חמוש,א-טור,"הר הזיתים, א טור",מזרח,31.781101,35.256626
חמוש סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.782872,35.25648
חמוש סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.782177,35.255696
חמוש סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.782175,35.255371
יציאה לדרך מנהרת הר הצופים,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.787334,35.258691
יציאה לכביש 1 מערב,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.786361,35.260013
יציאה למחלף הזיתים,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.787535,35.259976
סולימן אל פרסי,א-טור,"הר הזיתים, א טור",מזרח,31.779889,35.249198
סולימן אל פרסי סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.780661,35.248023
סולימן אל פרסי סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.780008,35.248968
סולימן אל פרסי סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.779738,35.248552
סולימן אל פרסי סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.779331,35.249012
סולימן אל פרסי סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.779516,35.249575
ראבעה אל עדוויה סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.783883,35.246894
ראבעה אל עדוויה סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.782405,35.245509
ראבעה אל עדוויה סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.780835,35.245305
ראבעה אל עדוויה סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.778999,35.246085
רבעה אל עדוויה,א-טור,"הר הזיתים, א טור",מזרח,31.779891,35.245955
שייח ענבר סמטה 10,א-טור,"הר הזיתים, א טור",מזרח,31.783773,35.25617
שייח ענבר סמטה 11,א-טור,"הר הזיתים, א טור",מזרח,31.785184,35.256369
שייח ענבר סמטה 12,א-טור,"הר הזיתים, א טור",מזרח,31.782708,35.257058
שייח ענבר סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.784571,35.246865
שייח ענבר סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.784038,35.252438
שייח ענבר סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.785171,35.254614
שייח ענבר סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.784833,35.25364
שייח' ענבר,א-טור,"הר הזיתים, א טור",מזרח,31.784713,35.25092
שייח' ענבר סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.784343,35.25527
אומרו אל קיס,א-סוואנה,,מזרח,31.781675,35.239132
אימרו אל קיס סמטה 2,א-סוואנה,,מזרח,31.784178,35.239491
אל אזאעה,א-סוואנה,"הר הזיתים, א טור",מזרח,31.784231,35.245678
אל אזאעה סמטה 2,א-סוואנה,,מזרח,31.784686,35.245886
אל מנסוריה,א-סוואנה,"הר הזיתים, א טור",מזרח,31.779799,35.240078
אל משרק,א-סוואנה,,מזרח,31.785512,35.242972
אל משרק סמטה 1,א-סוואנה,,מזרח,31.784928,35.243186
אל משרק סמטה 2,א-סוואנה,,מזרח,31.784896,35.242255
אל עולמא,א-סוואנה,,מזרח,31.786229,35.243659
אל צוואנה,א-סוואנה,,מזרח,31.785275,35.240371
אל צוואנה סמטה 1,א-סוואנה,,מזרח,31.784912,35.241445
אל צוואנה סמטה 2,א-סוואנה,,מזרח,31.784425,35.240137
אל צוואנה סמטה 3,א-סוואנה,,מזרח,31.783342,35.242203
אל צוואנה סמטה 4,א-סוואנה,,מזרח,31.783848,35.240906
אל צוואנה סמטה 5,א-סוואנה,,מזרח,31.783485,35.243141
אל צוואנה סמטה 7,א-סוואנה,,מזרח,31.783984,35.244504
דרך א טור שמואל בן עדיה,א-סוואנה,,מזרח,31.785149,35.24612
דרך א טור שמואל בן עדיה סמטה 6,א-סוואנה,,מזרח,31.785361,35.243497
דרך העופל,א-סוואנה,"שכ הגיחון, עיר דוד",מזרח,31.78043,35.238469
דרך יריחו,א-סוואנה,,מזרח,31.780072,35.239171
טיילת עמק צורים,א-סוואנה,,מזרח,31.788465,35.242264
ניהאד אבו ע'רבייה,א-סוואנה,,מזרח,31.787051,35.242338
דרך רמאללה,א-רם,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מערב,31.861469,35.226763
א שייח' סמטה 2,א-שייאח,"הר הזיתים, א טור",מזרח,31.777737,35.245831
א שייח' סמטה 3,א-שייאח,אל-שיאח,מזרח,31.778366,35.246082
א שייח' סמטה 6,א-שייאח,אל-שיאח,מזרח,31.773154,35.250746
א שייח' סמטה 7,א-שייאח,אל-שיאח,מזרח,31.77388,35.252892
אבו אל ליל,א-שייאח,אל-שיאח,מזרח,31.774036,35.249252
אל ג'בל,א-שייאח,אל-שיאח,מזרח,31.776826,35.251518
אל ג'בל סמטה 3,א-שייאח,אל-שיאח,מזרח,31.774957,35.254723
אל ופא',א-שייאח,אל-שיאח,מזרח,31.770699,35.253548
אל ופא' סמטה 1,א-שייאח,אל-שיאח,מזרח,31.77278,35.250064
בית פאגי,א-שייאח,אל-שיאח,מזרח,31.7775,35.250604
בלאל,א-שייאח,אל-שיאח,מזרח,31.774603,35.246981
בלאל סמטה 2,א-שייאח,אל-שיאח,מזרח,31.776826,35.248223
בלאל סמטה 3,א-שייאח,אל-שיאח,מזרח,31.774392,35.247587
בלאל סמטה 4,א-שייאח,אל-שיאח,מזרח,31.776918,35.246951
בלאל סמטה 6,א-שייאח,אל-שיאח,מזרח,31.775242,35.246852
דוואר אל נח'יל,א-שייאח,אל-שיאח,מזרח,31.77368,35.248448
דרך אל שייאח,א-שייאח,אל-שיאח,מזרח,31.778098,35.245775
דרך יריחו,א-שייאח,ואדי קדום,מזרח,31.773342,35.248439
ואדי עבדאללה,א-שייאח,אל-שיאח,מזרח,31.774153,35.248841
ואדי עבדאללה סמטה 1,א-שייאח,אל-שיאח,מזרח,31.775555,35.248277
ואדי עבדאללה סמטה 3,א-שייאח,אל-שיאח,מזרח,31.775992,35.248611
ואדי עבדאללה סמטה 4,א-שייאח,אל-שיאח,מזרח,31.775329,35.248861
ואדי עבדאללה סמטה 5,א-שייאח,אל-שיאח,מזרח,31.776464,35.248866
ואדי עבדאללה סמטה 6,א-שייאח,אל-שיאח,מזרח,31.775313,35.249276
חארת אל נצארה,א-שייאח,אל-שיאח,מזרח,31.776033,35.25086
חארת אל נצארה סמטה 1,א-שייאח,אל-שיאח,מזרח,31.775301,35.251876
חארת אל נצארה סמטה 2,א-שייאח,אל-שיאח,מזרח,31.777778,35.251477
עוויס,א-שייאח,אל-שיאח,מזרח,31.772974,35.247061
398,אום טובא,אום טובא,מזרח,31.727268,35.229121
אאל אל בית,אום טובא,צור בחר,מזרח,31.736153,35.232023
אאל אל בית סמטה 1,אום טובא,צור בחר,מזרח,31.735279,35.232404
אאל אל בית סמטה 10,אום טובא,אום טובא,מזרח,31.732362,35.231515
אאל אל בית סמטה 2,אום טובא,אום טובא,מזרח,31.735089,35.23136
אאל אל בית סמטה 4,אום טובא,אום טובא,מזרח,31.733722,35.229851
אאל אל בית סמטה 6,אום טובא,אום טובא,מזרח,31.732894,35.229973
אאל אל בית סמטה 8,אום טובא,אום טובא,מזרח,31.732568,35.230454
אבו ד'ר אל ע'פארי סמטה 7,אום טובא,צור בחר,מזרח,31.730858,35.234649
אבו ד'ר אלע'פארי,אום טובא,צור בחר,מזרח,31.730697,35.233843
אבו ע'נים,אום טובא,אום טובא,מזרח,31.731227,35.223145
אבו ע'נים סמטה 1,אום טובא,אום טובא,מזרח,31.731563,35.223489
אבו ע'נים סמטה 10,אום טובא,אום טובא,מזרח,31.73038,35.227821
אבו ע'נים סמטה 3,אום טובא,אום טובא,מזרח,31.731279,35.22393
אבו ע'נים סמטה 5,אום טובא,אום טובא,מזרח,31.731195,35.224594
אבו ע'נים סמטה 7,אום טובא,אום טובא,מזרח,31.730429,35.225845
אבו ע'נים סמטה 8,אום טובא,אום טובא,מזרח,31.730105,35.227652
אבן מסעוד,אום טובא,צור בחר,מזרח,31.735599,35.232947
אחמד אבן חנבל,אום טובא,צור בחר,מזרח,31.734875,35.233096
אחמד אבן חנבל סמטה 1,אום טובא,צור בחר,מזרח,31.735118,35.233205
אחמד אבן חנבל סמטה 3,אום טובא,צור בחר,מזרח,31.734564,35.233403
אחמד בן חנבל סמטה 2,אום טובא,צור בחר,מזרח,31.733722,35.231075
אל ביר אל שרקי סמטה 4,אום טובא,צור בחר,מזרח,31.72962,35.235165
אל ביר אל שרקי סמטה 5,אום טובא,צור בחר,מזרח,31.727987,35.235486
אל ביר אל שרקי סמטה 7,אום טובא,צור בחר,מזרח,31.727689,35.236138
אל ביר אל שרקי סמטה 9,אום טובא,צור בחר,מזרח,31.726483,35.237839
אל בית אל עתיק,אום טובא,אום טובא,מזרח,31.729117,35.230125
אל ברא',אום טובא,אום טובא,מזרח,31.729266,35.227776
אל ברא' סמטה 1,אום טובא,אום טובא,מזרח,31.72794,35.231105
אל ברא' סמטה 3,אום טובא,אום טובא,מזרח,31.728383,35.230462
אל ברא' סמטה 4,אום טובא,אום טובא,מזרח,31.729383,35.228462
אל זאוייה,אום טובא,אום טובא,מזרח,31.732022,35.227688
אל חאמד,אום טובא,אום טובא,מזרח,31.7305,35.229148
אל חג'אב,אום טובא,אום טובא,מזרח,31.731866,35.230611
אל מדינה אל מונאוורה,אום טובא,אום טובא,מזרח,31.736526,35.231058
אל מדינה אל מנוורה סמטה 15,אום טובא,אום טובא,מזרח,31.737705,35.22671
אל מדינה אל מנוורה סמטה 9,אום טובא,צור בחר,מזרח,31.736081,35.232408
אל מחאג'ר סמטה 1,אום טובא,אום טובא,מזרח,31.725782,35.233926
אל מחאג'ר סמטה 4,אום טובא,אום טובא,מזרח,31.725476,35.232595
אל מחאג'ר סמטה 6,אום טובא,אום טובא,מזרח,31.725026,35.233149
אל מעאני,אום טובא,אום טובא,מזרח,31.735648,35.227262
אל מעאני סמטה 1,אום טובא,אום טובא,מזרח,31.735754,35.227628
אל משהאד,אום טובא,אום טובא,מזרח,31.733283,35.22567
אל משהאד סמטה 1,אום טובא,אום טובא,מזרח,31.736081,35.22938
אל משהאד סמטה 2,אום טובא,אום טובא,מזרח,31.737088,35.227691
אל משהאד סמטה 3,אום טובא,אום טובא,מזרח,31.735534,35.226221
אל משהאד סמטה 4,אום טובא,אום טובא,מזרח,31.736446,35.226859
אל משהאד סמטה 5,אום טובא,אום טובא,מזרח,31.734169,35.225558
אל משהאד סמטה 6,אום טובא,אום טובא,מזרח,31.736135,35.225886
אל משהאד סמטה 7,אום טובא,אום טובא,מזרח,31.732852,35.226212
אל משהאד סמטה 8,אום טובא,אום טובא,מזרח,31.735284,35.225022
אל נובלא',אום טובא,אום טובא,מזרח,31.732314,35.226831
אל נובלא' סמטה 2,אום טובא,אום טובא,מזרח,31.732771,35.227392
אל סביל,אום טובא,אום טובא,מזרח,31.73173,35.226875
אל סביל סמטה 1,אום טובא,אום טובא,מזרח,31.734187,35.22397
אל סביל סמטה 2,אום טובא,אום טובא,מזרח,31.734329,35.22324
אל סביל סמטה 3,אום טובא,אום טובא,מזרח,31.733953,35.224611
אל סביל סמטה 4,אום טובא,אום טובא,מזרח,31.733065,35.224155
אל סביל סמטה 5,אום טובא,אום טובא,מזרח,31.730649,35.228567
אל סביל סמטה 6,אום טובא,אום טובא,מזרח,31.733081,35.22358
אל סולטאן,אום טובא,אום טובא,מזרח,31.730649,35.230643
אל סולטאן סמטה 1,אום טובא,אום טובא,מזרח,31.7343,35.227535
אל סולטאן סמטה 2,אום טובא,אום טובא,מזרח,31.73214,35.228233
אל סולטאן סמטה 4,אום טובא,אום טובא,מזרח,31.732072,35.228438
אל סולטאן סמטה 5,אום טובא,אום טובא,מזרח,31.732151,35.229525
אל סולטאן סמטה 6,אום טובא,אום טובא,מזרח,31.731817,35.228961
אל קאדי אל פאדל,אום טובא,אום טובא,מזרח,31.735342,35.228533
אל ראודה,אום טובא,אום טובא,מזרח,31.724584,35.234745
אל ראודה סמטה 2,אום טובא,אום טובא,מזרח,31.725343,35.235178
אל שיפא',אום טובא,אום טובא,מזרח,31.733514,35.225533
אל תראב,אום טובא,אום טובא,מזרח,31.731374,35.226099
אלביר שאוקי,אום טובא,צור בחר,מזרח,31.72765,35.235493
אלג'רס,אום טובא,אום טובא,מזרח,31.731742,35.229934
אלמחאג'ר,אום טובא,אום טובא,מזרח,31.726967,35.233508
אלמחאג'ר סמטה 3,אום טובא,אום טובא,מזרח,31.724972,35.233937
אלמחאג'ר סמטה 5,אום טובא,אום טובא,מזרח,31.72423,35.233683
אלסדר,אום טובא,אום טובא,מזרח,31.729258,35.231616
אלרסם,אום טובא,אום טובא,מזרח,31.727349,35.228889
אלרסם סמטה 2,אום טובא,אום טובא,מזרח,31.728347,35.229166
אלרסם סמטה 4,אום טובא,אום טובא,מזרח,31.727882,35.229087
אלתון,אום טובא,אום טובא,מזרח,31.726448,35.234275
אלתון סמטה 2,אום טובא,אום טובא,מזרח,31.731636,35.233107
אלתון סמטה 4,אום טובא,אום טובא,מזרח,31.729963,35.232948
אלתון סמטה 5,אום טובא,צור בחר,מזרח,31.729806,35.234196
אלתון סמטה 7,אום טובא,צור בחר,מזרח,31.729443,35.234327
אסביל,אום טובא,אום טובא,מזרח,31.7329,35.226958
דרך סור באהר,אום טובא,אום טובא,מזרח,31.738544,35.2252
טלחה,אום טובא,אום טובא,מזרח,31.738086,35.225578
מכה,אום טובא,אום טובא,מזרח,31.724925,35.232111
מכה סמטה 1,אום טובא,אום טובא,מזרח,31.725699,35.232547
מסעדה,אום טובא,אום טובא,מזרח,31.731608,35.231897
מסעדה סמטה 1,אום טובא,אום טובא,מזרח,31.731578,35.232069
מסעדה סמטה 2,אום טובא,אום טובא,מזרח,31.731247,35.231464
מסעדה סמטה 3,אום טובא,אום טובא,מזרח,31.730717,35.23264
מסעדה סמטה 4,אום טובא,אום טובא,מזרח,31.730385,35.231569
ע'סאן,אום טובא,אום טובא,מזרח,31.731552,35.226002
עבד אל עזיז סמטה 1,אום טובא,אום טובא,מזרח,31.737267,35.228554
עבד אלעזיז,אום טובא,אום טובא,מזרח,31.737134,35.22693
ערפה,אום טובא,אום טובא,מזרח,31.727833,35.228607
ערפה סמטה 3,אום טובא,אום טובא,מזרח,31.728569,35.22814
קיסאן,אום טובא,אום טובא,מזרח,31.721528,35.243262
קרטבה,אום טובא,אום טובא,מזרח,31.729917,35.223838
קרטבה סמטה 1,אום טובא,אום טובא,מזרח,31.729921,35.226405
שדרות שמואל מאיר,אום טובא,גבעת הארבעה,מזרח,31.73132,35.219886
תקי אל דין,אום טובא,צור בחר,מזרח,31.733183,35.23179
תקי אל דין סמטה 1,אום טובא,צור בחר,מזרח,31.734333,35.232383
אבו זיד אל הלאלי,אום ליסון,אום ליסון,מזרח,31.748427,35.240114
אבו עוביידה,אום ליסון,אום ליסון,מזרח,31.733661,35.247379
אבו עוביידה סמטה 17,אום ליסון,אום ליסון,מזרח,31.736644,35.24447
אבו עוביידה סמטה 19,אום ליסון,אום ליסון,מזרח,31.738051,35.243424
אבו עוביידה סמטה 20,אום ליסון,אום ליסון,מזרח,31.738305,35.243756
אבו עוביידה סמטה 21,אום ליסון,אום ליסון,מזרח,31.738612,35.242745
אבו עוביידה סמטה 22,אום ליסון,אום ליסון,מזרח,31.738544,35.243445
אבו עוביידה סמטה 24,אום ליסון,אום ליסון,מזרח,31.739303,35.242848
אבו עוביידה סמטה 26,אום ליסון,אום ליסון,מזרח,31.742917,35.240577
אבו רביע,אום ליסון,,מזרח,31.747396,35.239552
אימאם אבו חניפה,אום ליסון,אום ליסון,מזרח,31.73479,35.24881
אימאם אבו חניפה סמטה 1,אום ליסון,אום ליסון,מזרח,31.735749,35.248382
אל מונטאר,אום ליסון,אום ליסון,מזרח,31.732307,35.247996
אל נרג'ס,אום ליסון,צור בחר,מזרח,31.742125,35.238244
אל נרג'ס סמטה 1,אום ליסון,צור בחר,מזרח,31.741761,35.238892
אל עדל,אום ליסון,אום ליסון,מזרח,31.741421,35.241375
אל עדל סמטה 1,אום ליסון,אום ליסון,מזרח,31.741787,35.242555
אל עדל סמטה 5,אום ליסון,אום ליסון,מזרח,31.740226,35.246304
אל עדל סמטה 7,אום ליסון,אום ליסון,מזרח,31.739501,35.24698
אע'זייל,אום ליסון,אום ליסון,מזרח,31.742334,35.241278
אע'זייל סמטה 1,אום ליסון,אום ליסון,מזרח,31.74283,35.24264
אע'זייל סמטה 3,אום ליסון,אום ליסון,מזרח,31.742637,35.243749
אע'זייל סמטה 6,אום ליסון,אום ליסון,מזרח,31.741615,35.245662
דרך אום ליסון,אום ליסון,אום ליסון,מזרח,31.740407,35.243078
דרך אום ליסון סמטה 1,אום ליסון,אום ליסון,מזרח,31.738392,35.246291
דרך אום ליסון סמטה 2,אום ליסון,אום ליסון,מזרח,31.740141,35.242896
דרך אום ליסון סמטה 3,אום ליסון,אום ליסון,מזרח,31.737011,35.247636
דרך אום ליסון סמטה 4,אום ליסון,אום ליסון,מזרח,31.739284,35.243759
דרך אום ליסון סמטה 6,אום ליסון,אום ליסון,מזרח,31.738733,35.244915
דרך אום ליסון סמטה 8,אום ליסון,אום ליסון,מזרח,31.73761,35.245504
יתרב,אום ליסון,שכ נוף ציון,מזרח,31.744153,35.244493
יתרב סמטה 1,אום ליסון,שכ נוף ציון,מזרח,31.745342,35.243809
משה ברזני,אום ליסון,,מזרח,31.743686,35.239393
רבאיעה,אום ליסון,אום ליסון,מזרח,31.746415,35.240386
רבאיעה סמטה 10,אום ליסון,אום ליסון,מזרח,31.743352,35.243187
רבאיעה סמטה 12,אום ליסון,אום ליסון,מזרח,31.74326,35.243881
רבאיעה סמטה 2,אום ליסון,אום ליסון,מזרח,31.745349,35.24141
רבאיעה סמטה 3,אום ליסון,אום ליסון,מזרח,31.744999,35.243028
רבאיעה סמטה 4,אום ליסון,אום ליסון,מזרח,31.745017,35.241821
רבאיעה סמטה 6,אום ליסון,אום ליסון,מזרח,31.744652,35.242841
רבאיעה סמטה 8,אום ליסון,אום ליסון,מזרח,31.744107,35.243003
בי''ח הרצוג עזרת נשים,אזור תעשיה גבעת שאול,,מערב,31.795447,35.186407
בית הדפוס,אזור תעשיה גבעת שאול,,מערב,31.786669,35.192239
גבעת שאול,אזור תעשיה גבעת שאול,,מערב,31.796344,35.18444
גרשון המלמד,אזור תעשיה גבעת שאול,,מערב,31.7883,35.182813
דרך יוסף וייץ,אזור תעשיה גבעת שאול,,מערב,31.785878,35.190874
דרך יצחק שמיר,אזור תעשיה גבעת שאול,עמק הארזים,מערב,31.801979,35.188921
דרך מרדכי איש שלום,אזור תעשיה גבעת שאול,,מערב,31.78357,35.191217
האופה,אזור תעשיה גבעת שאול,,מערב,31.786806,35.185075
הרב אברהם דוד רוזנטל,אזור תעשיה גבעת שאול,שכ כפר שאול,מערב,31.787792,35.179475
הרב פנחס קהתי,אזור תעשיה גבעת שאול,,מערב,31.793372,35.191041
הרב רפאל קצנלבוגן,אזור תעשיה גבעת שאול,,מערב,31.787242,35.179934
חניון בית כנפי האלה,אזור תעשיה גבעת שאול,,מערב,31.787437,35.181255
חניון בית ענבר תאומים,אזור תעשיה גבעת שאול,,מערב,31.78787,35.184553
חניון בית ריגר פדרמן,אזור תעשיה גבעת שאול,,מערב,31.788102,35.187772
חניון בתי המשפט,אזור תעשיה גבעת שאול,,מערב,31.786029,35.189289
חניון גבעת שאול,אזור תעשיה גבעת שאול,,מערב,31.787789,35.185852
חניון הרצוג,אזור תעשיה גבעת שאול,,מערב,31.796064,35.183163
יהושוע פרבשטיין,אזור תעשיה גבעת שאול,,מערב,31.787013,35.192742
יחיאל מ.שטיינברג,אזור תעשיה גבעת שאול,,מערב,31.794692,35.185659
יעקב אליאב,אזור תעשיה גבעת שאול,,מערב,31.793281,35.18817
כנפי נשרים,אזור תעשיה גבעת שאול,,מערב,31.787672,35.183894
מגיני ירושלים,אזור תעשיה גבעת שאול,,מערב,31.79551,35.188486
נחום חפצדי,אזור תעשיה גבעת שאול,,מערב,31.789103,35.189062
עם ועולמו,אזור תעשיה גבעת שאול,,מערב,31.78921,35.186697
עקיבא אזולאי,אזור תעשיה גבעת שאול,,מערב,31.790834,35.18876
רוברטו בקי,אזור תעשיה גבעת שאול,,מערב,31.786261,35.181469
שדרות בן גוריון,אזור תעשיה גבעת שאול,,מערב,31.798021,35.187657
שוק סיטונאי,אזור תעשיה גבעת שאול,,מערב,31.793328,35.189769
שטנר,אזור תעשיה גבעת שאול,,מערב,31.787034,35.189422
45,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.859301,35.21049
איתן,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.85538,35.213773
דרך ביר נבאלה,אזור תעשיה עטרות,,מזרח,31.849411,35.224536
דרך רמאללה,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.861102,35.226449
דרך רמאללה סמטה 120,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.861552,35.226592
היוזמה,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.851806,35.214481
היוצק,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.857469,35.213924
היצירה,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.855322,35.221218
הכורכים,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.854522,35.214953
המדפיסים,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.854995,35.215192
המובילים,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.855594,35.215418
המעש,אזור תעשיה עטרות,"אזור תעשיה עטרות, שכ שדה תעופה עטרות",מזרח,31.857588,35.216759
